WEC,Eff_E_pct,Eff_RMS_pct,Loss_E_pct,Loss_RMS_pct,Pin_RMS_kW,Ppto_RMS_kW,Ploss_RMS_kW,Pdel_RMS_kW,Corr,Lag_s
WEC1,43.7,29.1,0.9,1.1,2222.05,653.7,7.4,646.67,0.44,3.61
WEC2,45,29.4,0.7,0.8,1665.46,493.24,4.13,489.29,0.44,3.631
