WEC,Eff_E_pct,Eff_RMS_pct,Loss_E_pct,Loss_RMS_pct,Pin_RMS_kW,Ppto_RMS_kW,Ploss_RMS_kW,Pdel_RMS_kW,Corr,Lag_s
WEC1,44.1,29.4,0.1,0.1,2222.05,653.7,0.57,653.16,0.44,3.61
WEC2,45.3,29.6,0.1,0.1,1665.46,493.24,0.32,492.94,0.44,3.631
